補充搜尋關鍵詞,學校代碼,學校名稱,學校簡稱,學系代碼,學系名稱,學系簡稱,學群類別,招生名額可填志願數,學群類別代碼,學校學群類別,術科考試,國文檢定,英文檢定,數學A檢定,數學B檢定,社會檢定,自然檢定,大考英聽檢定,術科項目1檢定,術科項目2檢定,術科項目3檢定,術科項目4檢定,術科項目5檢定
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,119,財務金融學系,財金系,第一類學群,12,1,1-1,--,頂標,頂標,頂標,--,--,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,120,國際企業學系,國企系,第一類學群,12,1,1-1,--,頂標,頂標,前標,--,前標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,121,法律學系法學組,法律系法學,第一類學群,12,1,1-1,--,頂標,頂標,--,前標,頂標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,122,法律學系司法組,法律系司法,第一類學群,12,1,1-1,--,頂標,頂標,--,前標,頂標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,123,法律學系財經法學組,法律系財法,第一類學群,12,1,1-1,--,頂標,頂標,--,前標,頂標,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,124,數學系,數學系,第二類學群,9,2,1-2,--,--,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,125,物理學系,物理系,第二類學群,9,2,1-2,--,頂標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,126,化學系,化學系,第二類學群,9,2,1-2,--,前標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,127,地質科學系,地質系,第二類學群,9,2,1-2,--,--,均標,均標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,128,大氣科學系,大氣系,第二類學群,9,2,1-2,--,--,前標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,129,經濟學系B組,經濟系B組,第二類學群,9,2,1-2,--,--,前標,頂標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,130,土木工程學系,土木系,第二類學群,9,2,1-2,--,前標,前標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,131,機械工程學系,機械系,第二類學群,9,2,1-2,--,--,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,132,化學工程學系,化工系,第二類學群,9,2,1-2,--,--,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,133,工程科學及海洋工程學系,工科海洋系,第二類學群,9,2,1-2,--,前標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,134,材料科學與工程學系,材料系,第二類學群,9,2,1-2,--,前標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,135,醫學工程學系,醫工系,第二類學群,9,2,1-2,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,136,生物環境系統工程學系,生工系,第二類學群,9,2,1-2,--,前標,前標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,137,生物機電工程學系,生機系,第二類學群,9,2,1-2,--,--,前標,前標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,138,工商管理學系科技管理組,工管系科管,第二類學群,9,2,1-2,--,頂標,頂標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,139,資訊管理學系,資管系,第二類學群,9,2,1-2,--,頂標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,140,電機工程學系,電機系,第二類學群,9,2,1-2,--,頂標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,141,資訊工程學系,資工系,第二類學群,9,2,1-2,--,前標,頂標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,142,心理學系,心理系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,143,經濟學系C組,經濟系C組,第三類學群,10,3,1-3,--,--,前標,頂標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,144,藥學系,藥學系,第三類學群,10,3,1-3,--,均標,均標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,145,醫學檢驗暨生物技術學系,醫技系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,146,護理學系,護理系,第三類學群,10,3,1-3,--,--,均標,均標,--,--,均標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,147,物理治療學系,物治系,第三類學群,10,3,1-3,--,前標,頂標,前標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,148,職能治療學系,職治系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,149,農藝學系,農藝系,第三類學群,10,3,1-3,--,--,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,150,農業化學系,農化系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,151,森林環境暨資源學系,森林環資系,第三類學群,10,3,1-3,--,--,均標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,152,動物科學技術學系,動科系,第三類學群,10,3,1-3,--,前標,前標,均標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,153,農業經濟學系,農經系,第三類學群,10,3,1-3,--,均標,均標,均標,--,--,--,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,154,園藝暨景觀學系,園藝系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,155,獸醫學系,獸醫系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,156,昆蟲學系,昆蟲系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,157,植物病理與微生物學系,植微系,第三類學群,10,3,1-3,--,前標,前標,前標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,158,公共衛生學系,公衛系,第三類學群,10,3,1-3,--,--,前標,前標,--,均標,前標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,159,生命科學系,生科系,第三類學群,10,3,1-3,--,前標,頂標,前標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,160,生化科技學系,生技系,第三類學群,10,3,1-3,--,前標,前標,頂標,--,--,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,161,醫學系,醫學系,第八類學群,1,8,1-8,--,頂標,--,頂標,--,頂標,頂標,--,,,,,
"NTU,台大,台灣大學,國立台灣大學,臺灣大學",1,國立臺灣大學,臺大,162,牙醫學系,牙醫系,第八類學群,1,8,1-8,--,頂標,頂標,頂標,--,--,頂標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,201,教育學系,教育系,第一類學群,9,1,2-1,--,前標,前標,--,--,均標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,202,教育心理與輔導學系,心輔系,第一類學群,9,1,2-1,--,均標,前標,--,均標,均標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,203,社會教育學系,社教系,第一類學群,9,1,2-1,--,均標,均標,--,均標,均標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,204,幼兒與家庭科學學系家庭生活與教育組,幼家家庭組,第一類學群,9,1,2-1,--,均標,均標,--,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,205,幼兒與家庭科學學系幼兒發展與教育組,幼家幼教組,第一類學群,9,1,2-1,--,均標,均標,--,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,206,公民教育與活動領導學系,公領系,第一類學群,9,1,2-1,--,前標,均標,--,均標,前標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,207,特殊教育學系,特教系,第一類學群,9,1,2-1,--,均標,均標,--,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,208,教育學院學士班,教院學士班,第一類學群,9,1,2-1,--,均標,前標,均標,均標,均標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,209,國文學系,國文系,第一類學群,9,1,2-1,--,前標,前標,--,--,前標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,210,英語學系,英語系,第一類學群,9,1,2-1,--,前標,頂標,--,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,211,歷史學系,歷史系,第一類學群,9,1,2-1,--,前標,前標,--,均標,前標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,212,地理學系,地理系,第一類學群,9,1,2-1,--,前標,前標,--,均標,前標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,213,臺灣語文學系,台文系,第一類學群,9,1,2-1,--,前標,前標,--,--,前標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,214,華語文教學系應用華語文學組,華語應華組,第一類學群,9,1,2-1,--,均標,均標,--,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,215,東亞學系,東亞系,第一類學群,9,1,2-1,--,均標,前標,--,均標,均標,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,216,企業管理學系,企管系,第一類學群,9,1,2-1,--,均標,均標,均標,前標,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,217,學習科學學士學位學程,學習科學,第二類學群,8,2,2-2,--,均標,均標,均標,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,218,數學系,數學系,第二類學群,8,2,2-2,--,--,均標,前標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,219,物理學系,物理系,第二類學群,8,2,2-2,--,--,均標,前標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,220,物理學系國際組,物理國際組,第二類學群,8,2,2-2,--,--,均標,均標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,221,化學系,化學系,第二類學群,8,2,2-2,--,均標,均標,前標,--,--,頂標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,222,地球科學系,地科系,第二類學群,8,2,2-2,--,--,均標,均標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,223,資訊工程學系,資工系,第二類學群,8,2,2-2,--,均標,前標,前標,--,--,前標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,224,科技應用與人力資源發展學系,科技系,第二類學群,8,2,2-2,--,--,均標,前標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,225,圖文傳播學系,圖傳系,第二類學群,8,2,2-2,--,均標,均標,均標,--,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,226,機電工程學系,機電系,第二類學群,8,2,2-2,--,均標,均標,前標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,227,電機工程學系,電機系,第二類學群,8,2,2-2,--,--,均標,前標,--,--,前標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,228,車輛與能源工程學士學位學程,車能學程,第二類學群,8,2,2-2,--,均標,均標,均標,--,--,前標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,229,光電工程學士學位學程,光電學程,第二類學群,8,2,2-2,--,均標,前標,前標,--,--,前標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,230,設計學系產品設計組,產品設計組,第二類學群,8,2,2-2,--,均標,均標,--,均標,--,--,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,231,健康促進與衛生教育學系,衛教系,第三類學群,2,3,2-3,--,均標,均標,均標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,232,營養科學學士學位學程,營養學程,第三類學群,2,3,2-3,--,均標,均標,均標,--,--,均標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,233,生命科學系,生科系,第三類學群,2,3,2-3,--,--,前標,前標,--,--,前標,--,,,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,234,設計學系視覺設計組,視覺設計組,第五類學群,2,5,2-5,是,均標,均標,--,--,--,--,--,前標,前標,前標,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,235,美術學系繪畫組,美術繪畫,第五類學群,2,5,2-5,是,前標,前標,--,--,--,--,--,頂標,頂標,,,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,236,美術學系水墨畫組,美術水墨畫,第五類學群,2,5,2-5,是,前標,前標,--,--,--,--,--,前標,,,前標,
"台灣師範大學,國立台灣師範大學,臺灣師範大學",2,國立臺灣師範大學,師大,237,體育與運動科學系,體育系,第七類學群,1,7,2-7,是,後標,後標,--,--,後標,後標,--,均標,,,,
中興大學,3,國立中興大學,中興,301,中國文學系,中文系,第一類學群,10,1,3-1,--,前標,均標,--,--,均標,--,--,,,,,
中興大學,3,國立中興大學,中興,302,外國語文學系,外文系,第一類學群,10,1,3-1,--,均標,前標,--,--,均標,--,--,,,,,
中興大學,3,國立中興大學,中興,303,歷史學系,歷史系,第一類學群,10,1,3-1,--,前標,--,--,--,前標,--,--,,,,,
中興大學,3,國立中興大學,中興,304,台灣人文創新學士學位學程,創新學程,第一類學群,10,1,3-1,--,前標,均標,--,--,均標,--,--,,,,,
中興大學,3,國立中興大學,中興,305,財務金融學系,財金系,第一類學群,10,1,3-1,--,均標,前標,前標,--,--,--,--,,,,,
中興大學,3,國立中興大學,中興,306,企業管理學系,企管系,第一類學群,10,1,3-1,--,均標,前標,均標,前標,--,--,--,,,,,
中興大學,3,國立中興大學,中興,307,會計學系,會計系,第一類學群,10,1,3-1,--,均標,前標,均標,--,--,--,--,,,,,
中興大學,3,國立中興大學,中興,308,行銷學系,行銷系,第一類學群,10,1,3-1,--,前標,前標,均標,前標,--,--,B級,,,,,
中興大學,3,國立中興大學,中興,309,應用經濟學系,應經系,第一類學群,10,1,3-1,--,均標,均標,均標,--,--,--,--,,,,,
中興大學,3,國立中興大學,中興,310,法律學系,法律系,第一類學群,10,1,3-1,--,前標,均標,--,均標,前標,--,--,,,,,
中興大學,3,國立中興大學,中興,311,資訊管理學系,資管系,第二類學群,17,2,3-2,--,均標,前標,前標,--,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,312,化學系,化學系,第二類學群,17,2,3-2,--,前標,前標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,313,物理學系一般物理組,物理系一般,第二類學群,17,2,3-2,--,--,均標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,314,物理學系光電物理組,物理系光電,第二類學群,17,2,3-2,--,--,均標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,315,應用數學系應用數學組,應數系一般,第二類學群,17,2,3-2,--,均標,均標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,316,應用數學系數據科學與計算組,應數系數科,第二類學群,17,2,3-2,--,均標,均標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,317,機械工程學系,機械系,第二類學群,17,2,3-2,--,均標,均標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,318,土木工程學系,土木系,第二類學群,17,2,3-2,--,均標,均標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,319,環境工程學系,環工系,第二類學群,17,2,3-2,--,均標,均標,均標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,320,化學工程學系,化工系,第二類學群,17,2,3-2,--,均標,前標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,321,材料科學與工程學系,材料系,第二類學群,17,2,3-2,--,前標,前標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,322,智慧創意工程學士學位學程,智創意學程,第二類學群,17,2,3-2,--,均標,前標,前標,--,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,323,電機工程學系,電機系,第二類學群,17,2,3-2,--,均標,前標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,324,資訊工程學系,資工系,第二類學群,17,2,3-2,--,前標,前標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,325,電機資訊學院學士班,電資學士班,第二類學群,17,2,3-2,--,均標,前標,前標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,326,生物產業機電工程學系,生機系,第二類學群,17,2,3-2,--,均標,均標,均標,--,--,均標,B級,,,,,
中興大學,3,國立中興大學,中興,327,水土保持學系,水保系,第二類學群,17,2,3-2,--,均標,均標,均標,--,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,328,食品暨應用生物科技學系,食生系,第三類學群,14,3,3-3,--,均標,前標,前標,前標,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,329,農藝學系,農藝系,第三類學群,14,3,3-3,--,均標,均標,均標,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,330,園藝學系,園藝系,第三類學群,14,3,3-3,--,均標,均標,--,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,331,森林學系林學組,森林系林學,第三類學群,14,3,3-3,--,均標,均標,--,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,332,森林學系木材科學組,森林系木科,第三類學群,14,3,3-3,--,均標,均標,--,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,333,植物病理學系,植病系,第三類學群,14,3,3-3,--,均標,前標,均標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,334,昆蟲學系,昆蟲系,第三類學群,14,3,3-3,--,均標,均標,均標,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,335,動物科學系,動科系,第三類學群,14,3,3-3,--,均標,均標,均標,--,--,前標,B級,,,,,
中興大學,3,國立中興大學,中興,336,土壤環境科學系,土環系,第三類學群,14,3,3-3,--,--,均標,均標,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,337,生物科技學士學位學程,生技學程,第三類學群,14,3,3-3,--,均標,前標,均標,均標,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,338,景觀與遊憩學士學位學程,景憩學程,第三類學群,14,3,3-3,--,均標,均標,均標,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,339,國際農企業學士學位學程,國農學程,第三類學群,14,3,3-3,--,--,前標,均標,均標,--,均標,--,,,,,
中興大學,3,國立中興大學,中興,340,生命科學系,生科系,第三類學群,14,3,3-3,--,--,前標,均標,--,--,前標,--,,,,,
中興大學,3,國立中興大學,中興,341,獸醫學系,獸醫系,第三類學群,14,3,3-3,--,均標,前標,均標,--,--,前標,B級,,,,,
"NCKU,成功大學",4,國立成功大學,成大,401,中國文學系,中文系,第一類學群,5,1,4-1,--,頂標,均標,--,--,前標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,402,外國語文學系,外文系,第一類學群,5,1,4-1,--,前標,頂標,--,--,均標,--,A級,,,,,
"NCKU,成功大學",4,國立成功大學,成大,403,歷史學系,歷史系,第一類學群,5,1,4-1,--,前標,前標,--,--,前標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,404,台灣文學系,台文系,第一類學群,5,1,4-1,--,前標,前標,--,均標,前標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,405,企業管理學系,企管系,第一類學群,5,1,4-1,--,均標,前標,--,均標,--,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,406,會計學系,會計學系,第一類學群,5,1,4-1,--,均標,前標,均標,--,均標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,407,政治學系,政治系,第一類學群,5,1,4-1,--,均標,均標,均標,均標,均標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,408,經濟學系,經濟系,第一類學群,5,1,4-1,--,前標,均標,前標,--,均標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,409,法律學系,法律學系,第一類學群,5,1,4-1,--,頂標,頂標,--,均標,均標,--,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,410,數學系,數學系,第二類學群,14,2,4-2,--,--,均標,前標,--,--,均標,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,411,物理學系,物理學系,第二類學群,14,2,4-2,--,均標,均標,均標,--,--,均標,--,,,,,
"NCKU,成功大學",4,國立成功大學,成大,412,化學系,化學系,第二類學群,14,2,4-2,--,均標,前標,前標,--,--,前標,--,,,,,
